"freq,stk_flow,siec,unit,geo\TIME_PERIOD"	2022	2023	2024
"A,STKOP_ABR,G3000,TJ_GCV,NL"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,NO"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,PL"	381.452	3459.485	: 
"A,STKOP_ABR,G3000,TJ_GCV,PT"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,RO"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,RS"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,SE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,SI"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,SK"	19358	20119	21361
"A,STKOP_ABR,G3000,TJ_GCV,TR"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,UA"	0	: 	: 
"A,STKOP_ABR,G3000,TJ_GCV,UK"	: 	: 	: 
"A,STKOP_ABR,G3000,TJ_GCV,XK"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,AL"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,AT"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,BA"	0	0	: 
"A,STKOP_CG,G3000,MIO_M3,BE"	649	675	675
"A,STKOP_CG,G3000,MIO_M3,BG"	737.205	737.205	737.205
"A,STKOP_CG,G3000,MIO_M3,CY"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,CZ"	1260.441	1260.441	1524.5
"A,STKOP_CG,G3000,MIO_M3,DE"	14372	14052	14052
"A,STKOP_CG,G3000,MIO_M3,DK"	1439.355	1400.343	1375.999
"A,STKOP_CG,G3000,MIO_M3,EA20"	61535.63	61241.63	61241.63
"A,STKOP_CG,G3000,MIO_M3,EA21"	62272.835	61978.835	61978.835
"A,STKOP_CG,G3000,MIO_M3,EE"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,EL"	0	0	: 
"A,STKOP_CG,G3000,MIO_M3,ES"	3398	3398	3398
"A,STKOP_CG,G3000,MIO_M3,EU27_2020"	78944.139	78605.326	78849.619
"A,STKOP_CG,G3000,MIO_M3,FI"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,FR"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,GE"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,HR"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,HU"	5930	5930	5935
"A,STKOP_CG,G3000,MIO_M3,IE"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,IS"	: 	0	: 
"A,STKOP_CG,G3000,MIO_M3,IT"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,LI"	0	0	: 
"A,STKOP_CG,G3000,MIO_M3,LT"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,LU"	0	0	0
"A,STKOP_CG,G3000,MIO_M3,LV"	2.148	2.148	2.148
"A,STKOP_CG,G3000,MIO_M3,MD"	0	0	0
